id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
14eb45c56b1d39ef25b5fea25782fd86,krakow,blockOfFlats,30.5,1.0,1.0,11.0,2023.0,50.067969,19.913632,2.26,26.0,0.111,0.445,0.47,0.469,0.038,0.538,0.35,condominium,yes,yes,yes,no,no,798000
fb7ccbe2a425c1d4f1130adf8749020e,krakow,blockOfFlats,52.0,3.0,2.0,10.0,1983.0,50.08173348,20.0149649,6.2,26.0,0.248,1.271,0.366,0.198,0.24,1.457,0.31,cooperative,no,yes,yes,no,yes,746200
c3c3954dfcc212851b21073485112670,warszawa,tenement,37.9,2.0,1.0,7.0,1960.0,52.2010173,21.0232571,3.67,35.0,0.296,0.243,0.422,0.283,0.093,0.935,0.089,condominium,no,yes,yes,no,yes,650000
ecc2e4954624c3bb913a95f1c9576493,warszawa,tenement,51.6,2.0,2.0,2.0,1934.0,52.24862864,21.0596961,4.26,23.0,0.033,0.242,0.279,0.066,0.128,0.247,0.202,condominium,no,yes,no,yes,yes,959900
2b82e42b11f8b1c7e4e184d0dfb2e165,warszawa,blockOfFlats,79.0,3.0,2.0,12.0,1993.0,52.22536,21.09429,6.22,23.0,0.271,0.193,0.45,0.05,0.188,1.694,0.195,condominium,no,yes,yes,no,yes,1299000
1e3a59db6d7939c7e771113ad3a7e075,warszawa,apartmentBuilding,70.0,4.0,1.0,1.0,2007.0,52.1525552,21.0553256,9.48,29.0,0.112,0.269,0.283,0.194,0.273,0.289,0.271,condominium,no,yes,yes,no,yes,1470000
623e2612d8ef9f1109f156248ffa25b6,wroclaw,apartmentBuilding,29.9,1.0,3.0,3.0,2020.0,51.1474,17.1163,7.29,19.0,0.345,1.129,0.101,0.24,0.165,0.463,0.133,condominium,no,no,yes,no,no,399000
fcababfa31f9ac1624143cb38509cf0b,warszawa,apartmentBuilding,92.0,4.0,1.0,5.0,2005.0,52.2352148,21.0555069,3.56,57.0,0.109,0.157,0.273,0.083,0.111,0.261,0.354,condominium,no,yes,yes,no,yes,2800000
956f6b76c240fc969ac246aedcf43978,krakow,blockOfFlats,62.2,3.0,3.0,4.0,2007.0,50.00878,19.94849,5.22,11.0,0.28,0.692,0.591,0.133,0.33,0.735,0.097,condominium,no,yes,no,no,yes,890000
bae20a638b437103a05e985a17198eca,warszawa,blockOfFlats,45.4,2.0,6.0,15.0,1979.0,52.23853745,21.11262802,7.47,12.0,0.349,0.778,0.181,0.2,0.186,0.303,0.138,condominium,no,yes,yes,no,yes,683000
8743f61e03d248524402d77e8538ed75,lodz,blockOfFlats,37.0,2.0,5.0,11.0,1978.0,51.74839515,19.39670563,5.43,25.0,0.342,0.227,0.474,0.36,0.185,3.879,0.063,condominium,no,yes,yes,no,no,379000
3436493bf368628d970d225a457d919a,bydgoszcz,apartmentBuilding,46.7,3.0,5.0,8.0,2020.0,53.114722,18.018611,1.44,7.0,0.529,0.522,0.371,0.308,0.448,0.563,0.224,condominium,yes,yes,yes,no,yes,559000
21afea176177cee2c6f61a8179c443c0,warszawa,tenement,85.55,4.0,3.0,4.0,1930.0,52.22969195,21.01843519,1.04,120.0,0.234,0.392,0.2,0.151,0.051,0.313,0.179,condominium,no,no,no,no,yes,1800000
a31fa87daed14820b207fd030ee37656,lodz,blockOfFlats,48.31,2.0,3.0,3.0,1960.0,51.79655575,19.39571509,4.39,12.0,0.275,2.845,0.585,0.268,0.158,0.792,0.08,cooperative,yes,no,no,no,yes,355000
a0af1043bf8bed80173cd48367c929ae,krakow,blockOfFlats,56.58,3.0,5.0,5.0,2012.0,50.0982,19.9602,5.02,10.0,0.267,0.686,0.104,0.292,0.101,2.705,0.094,condominium,yes,yes,yes,no,no,949000
e6d911cead6d90d8d73c8f2a5cf50690,krakow,apartmentBuilding,73.0,3.0,3.0,3.0,2009.0,50.0189,19.9725,4.72,9.0,0.091,0.451,0.341,0.05,0.242,1.735,0.25,condominium,no,yes,no,yes,no,919000
31d7292c7bda3961eb0e1c29c478621b,warszawa,blockOfFlats,42.2,2.0,2.0,10.0,1976.0,52.1807,21.05409,6.64,13.0,0.433,0.852,0.553,0.141,0.514,3.37,0.066,condominium,no,yes,yes,no,yes,615000
b6ef4b70e7d84fce0c87ac9563375a39,warszawa,apartmentBuilding,123.0,5.0,10.0,10.0,1997.0,52.23284,20.98681,1.15,69.0,0.106,0.153,0.313,0.111,0.054,1.131,0.035,condominium,no,yes,yes,yes,no,2750000
a40d31b7432278ca0ae727e309ed047b,warszawa,blockOfFlats,51.6,2.0,3.0,8.0,2014.0,52.2224532,20.93115677,5.04,13.0,0.269,0.277,0.562,0.358,0.091,1.022,0.332,condominium,no,yes,yes,no,no,1212600
369f6068e1d0c1eee4e011c0c1b9ce73,szczecin,tenement,74.9,3.0,4.0,4.0,1930.0,53.4273184,14.543117,1.26,61.0,0.216,0.379,0.26,0.401,0.11,0.233,0.071,condominium,yes,no,no,no,yes,369000
6be3bfd7e5f6f93e720bc30d65897845,poznan,blockOfFlats,65.0,3.0,2.0,10.0,1994.0,52.3614048,16.9053717,5.56,9.0,0.537,0.906,0.408,0.3,0.544,0.904,0.146,cooperative,no,yes,yes,no,yes,560000
27528155f8e36ab4035e8c6b7163068e,warszawa,blockOfFlats,74.0,4.0,8.0,11.0,1976.0,52.2766212,20.9156297,7.79,11.0,0.771,1.468,0.471,0.154,0.3,1.628,0.065,condominium,no,yes,yes,no,yes,899999
efe603f948b1eb86b9441e50a070b140,bydgoszcz,tenement,41.24,2.0,3.0,3.0,1936.0,53.14415,18.02313,2.88,9.0,0.237,0.389,0.644,0.248,0.106,1.732,0.118,condominium,no,no,no,no,no,399000
1998d9d6579955bd29cab114f6c475af,gdansk,blockOfFlats,41.1,2.0,3.0,10.0,1986.0,54.3392632,18.6172074,2.66,15.0,0.316,0.957,0.223,0.311,0.229,2.736,0.144,condominium,no,yes,yes,no,no,509000
257c05127dabb71ecac1ef30ef86873a,lodz,blockOfFlats,40.0,2.0,3.0,4.0,1959.0,51.7345,19.4967,5.97,28.0,0.156,1.636,0.247,0.073,0.239,2.024,0.216,condominium,no,yes,no,no,no,370000
f2fe16e9d3fe455968e131fcb834ca0d,poznan,blockOfFlats,80.71,3.0,4.0,4.0,1960.0,52.3895186,16.8511706,6.08,4.0,0.722,0.799,0.241,0.592,0.212,0.885,0.637,condominium,no,no,no,no,yes,699000
66daa6ccdbd016ab67d784334cf64c0c,warszawa,blockOfFlats,47.1,3.0,2.0,4.0,1976.0,52.1931239,20.96950798,4.88,7.0,0.246,0.885,0.082,0.192,0.493,2.309,0.722,cooperative,no,yes,no,no,yes,860000
9a6a54e582f994f4d337fbef0cda2563,warszawa,blockOfFlats,106.0,5.0,2.0,3.0,2006.0,52.1806,21.101,8.74,1.0,1.676,3.296,1.81,0.903,0.414,4.691,1.743,condominium,no,yes,no,yes,no,1449000
0a616de0f1d28d95c88ff8e1fd4add66,warszawa,blockOfFlats,50.67,2.0,1.0,3.0,1959.0,52.1940994,21.00754224,4.19,33.0,0.1,0.7,0.441,0.097,0.277,0.354,0.162,condominium,no,no,no,no,yes,856000
cfa5516d038062445a0150337303cbce,lodz,blockOfFlats,37.5,2.0,3.0,4.0,1970.0,51.793988,19.3999367,4.02,15.0,0.128,2.487,0.233,0.126,0.495,0.585,0.25,cooperative,no,yes,no,no,yes,280000
810137a035a09b75427ad817fab32c9c,krakow,blockOfFlats,57.6,3.0,5.0,10.0,1975.0,50.0410397,19.92576756,1.83,8.0,0.455,1.344,0.671,0.226,0.067,0.647,0.497,condominium,no,no,yes,no,yes,855000
d827b9fb58ba55983a87f8dbd963c28a,radom,blockOfFlats,63.73,2.0,5.0,5.0,1999.0,51.39717875,21.14005453,0.66,22.0,0.211,0.168,0.462,0.312,0.279,0.592,0.559,condominium,yes,no,no,no,yes,339999
8aaf96298f3e7e27cc8955fd5e90394f,lodz,blockOfFlats,48.0,2.0,3.0,5.0,1960.0,51.78584911,19.46556568,0.89,13.0,0.122,0.851,0.324,0.141,0.494,0.694,0.014,condominium,yes,yes,yes,no,yes,349000
60f081db4719158134906eec8f810ed8,wroclaw,blockOfFlats,28.13,1.0,1.0,3.0,2017.0,51.0538,17.0607,6.69,3.0,1.527,2.57,0.583,0.257,0.49,3.073,0.238,condominium,no,yes,no,no,no,465000
193ba5706e31a5023a320f66bb8968a8,warszawa,blockOfFlats,50.0,3.0,2.0,4.0,1960.0,52.2658,20.97028,4.42,13.0,0.113,0.217,0.626,0.237,0.351,0.519,0.308,condominium,no,yes,yes,no,yes,1099000
5e869e12577703de6af68437653ea51e,warszawa,blockOfFlats,70.84,3.0,2.0,6.0,1955.0,52.2139326733641,20.9772685269902,2.67,22.0,0.284,0.471,0.135,0.183,0.065,0.547,0.119,condominium,no,no,yes,no,yes,1249000
8e86bd8867afecee5d92c8e3c881c933,krakow,apartmentBuilding,29.8,2.0,1.0,4.0,2012.0,50.0439324728331,19.9457423646946,1.37,51.0,0.226,0.448,0.371,0.35,0.06,0.684,0.062,condominium,no,no,yes,yes,no,799000
df40bb19d0836a59e33961eeecae65b6,wroclaw,tenement,54.5,2.0,2.0,4.0,1900.0,51.12147074,17.03459304,1.24,37.0,0.091,0.216,0.286,0.071,0.154,0.352,0.2,condominium,no,no,no,no,yes,659000
fdaa0d825767e075d25cafa5e1c0beb5,bydgoszcz,blockOfFlats,53.1,4.0,5.0,11.0,1974.0,53.1249837,18.0497523,3.29,21.0,0.4,0.417,0.299,0.172,0.08,0.861,0.155,condominium,no,yes,yes,no,yes,400000
5714e3159966252fa43db779e88e93c5,warszawa,apartmentBuilding,39.13,2.0,1.0,4.0,2024.0,52.31311376,20.97470284,9.26,4.0,0.129,0.996,0.696,0.309,0.277,1.483,0.73,condominium,yes,yes,yes,no,no,599000
bfbd6897f81ec2f724f1040ad3e307c8,katowice,blockOfFlats,73.0,4.0,4.0,13.0,1970.0,50.28199,18.973517,4.13,14.0,0.278,0.711,0.165,0.063,0.175,1.232,0.158,condominium,no,yes,yes,no,no,700000
57f58e693e41c0226a265f88721d813b,gdansk,blockOfFlats,46.0,2.0,1.0,10.0,1971.0,54.41757,18.59442,8.52,10.0,0.199,0.725,0.255,0.156,0.339,1.47,0.274,condominium,no,no,no,no,no,660000
1da2456a9b07b2a8c451fb7c1580d48a,wroclaw,blockOfFlats,73.0,3.0,6.0,10.0,2000.0,51.14554,17.122534,7.54,19.0,0.038,0.889,0.458,0.173,0.454,0.021,0.349,condominium,no,no,yes,no,no,795700
f4bd79c7b7294ad8c1249ba1a65ac7a6,krakow,blockOfFlats,41.5,2.0,2.0,4.0,1980.0,50.05884137,19.97856903,2.89,8.0,0.295,0.968,0.196,0.202,0.396,1.355,0.172,condominium,no,no,no,no,yes,715000
f178123eeab87c60699b5434c69c8c9e,krakow,tenement,49.1,2.0,5.0,5.0,1930.0,50.047494,19.9419376,0.9,76.0,0.174,0.031,0.491,0.122,0.111,0.233,0.028,condominium,no,yes,yes,no,no,1104701
